phenotype ,taxonomy rank level ,NCBI taxon id ,scientific name ,super kingdom ,Nr. runs in which the species/genus can be found ,mean relative abundance ,median relative abundance ,SD of relative abundance
D006262 ,species ,1408 ,Bacillus pumilus ,Bacteria ,946 ,0.0354690816631078 ,0.00325477 ,0.285540613844331 ,
D006262 ,species ,1409 ,Bacillus sp. ,Bacteria ,125 ,0.002548885176 ,0.00153657 ,0.00245291552363605 ,
D006262 ,species ,1413 ,Bacillus cellulosilyticus ,Bacteria ,596 ,0.00655511667114094 ,0.00320568 ,0.010314725944884 ,
D006262 ,species ,1418 ,Bacillus mannanilyticus ,Bacteria ,194 ,0.0026813710927835 ,0.001503405 ,0.00338013126126782 ,
D006262 ,species ,1421 ,Lysinibacillus sphaericus ,Bacteria ,48 ,0.02369567380625 ,0.002368325 ,0.123293667020645 ,
D006262 ,species ,1422 ,Geobacillus stearothermophilus ,Bacteria ,359 ,0.00521083546518106 ,0.00217742 ,0.0107562056133515 ,
D006262 ,species ,1423 ,Bacillus subtilis ,Bacteria ,446 ,0.0228631930589686 ,0.002527635 ,0.161942475975251 ,
D006262 ,species ,1426 ,Geobacillus thermoglucosidasius ,Bacteria ,25 ,0.002645867988 ,0.00198389 ,0.00204441943571345 ,
D006262 ,species ,1428 ,Bacillus thuringiensis ,Bacteria ,1930 ,0.0466461028233161 ,0.004294795 ,0.247026328649517 ,
D006262 ,species ,1445 ,Bacillus alcalophilus ,Bacteria ,60 ,0.00290093928666667 ,0.001693735 ,0.00394563466528682 ,
D006262 ,species ,1449 ,Amphibacillus xylanus ,Bacteria ,15 ,0.0146210697333333 ,0.00334549 ,0.0323860995024541 ,
D006262 ,species ,1450 ,Alicyclobacillus acidoterrestris ,Bacteria ,378 ,0.0488801113915344 ,0.003085645 ,0.205496670854284 ,
D006262 ,species ,1451 ,Paenibacillus amylolyticus ,Bacteria ,16 ,0.00098819764375 ,0.000422281 ,0.00167795651866884 ,
D006262 ,species ,1452 ,Bacillus atrophaeus ,Bacteria ,25 ,0.00249381842 ,0.000983323 ,0.00389714497711314 ,
D006262 ,species ,1454 ,Bacillus azotoformans ,Bacteria ,34 ,0.00156477826470588 ,0.0010374505 ,0.00138756063041619 ,
D006262 ,species ,1455 ,Bacillus badius ,Bacteria ,198 ,0.00886423288888889 ,0.002898105 ,0.0333364878737935 ,
D006262 ,species ,1456 ,Bacillus benzoevorans ,Bacteria ,116 ,0.00838974222413793 ,0.001982115 ,0.0246867476441972 ,
D006262 ,species ,1457 ,Alicyclobacillus cycloheptanicus ,Bacteria ,34 ,0.00201649813235294 ,0.00166767 ,0.00163406578287715 ,
D006262 ,species ,1458 ,Bacillus fastidiosus ,Bacteria ,78 ,0.0452724168333333 ,0.003823735 ,0.153389434519862 ,
D006262 ,species ,1459 ,Sporosarcina globispora ,Bacteria ,117 ,0.0039338572991453 ,0.00133204 ,0.0135278187173677 ,
D006262 ,species ,1461 ,Psychrobacillus insolitus ,Bacteria ,1 ,0.000288722 ,0.000288722 , ,
D006262 ,species ,1462 ,Geobacillus kaustophilus ,Bacteria ,550 ,0.00720838437090909 ,0.002832685 ,0.0216854452051281 ,
D006262 ,species ,1464 ,Paenibacillus larvae ,Bacteria ,363 ,0.0196881049504132 ,0.00236899 ,0.0659287508909135 ,
D006262 ,species ,1465 ,Brevibacillus laterosporus ,Bacteria ,42 ,0.00157576721428571 ,0.00106564 ,0.00222135732459586 ,
D006262 ,species ,1467 ,Bacillus lentus ,Bacteria ,96 ,0.0128856509552083 ,0.002082265 ,0.0777338115046252 ,
D006262 ,species ,1471 ,Bacillus methanolicus ,Bacteria ,244 ,0.0153982932266393 ,0.003611905 ,0.0819404295294078 ,
D006262 ,species ,1472 ,Paenibacillus pabuli ,Bacteria ,176 ,0.0144689980909091 ,0.001700435 ,0.0527340457269827 ,
D006262 ,species ,1473 ,Virgibacillus pantothenticus ,Bacteria ,82 ,0.00314718815243902 ,0.00190042 ,0.00382764238509769 ,
D006262 ,species ,1476 ,Sporosarcina psychrophila ,Bacteria ,411 ,0.0374595995345499 ,0.00306744 ,0.130452659636647 ,
D006262 ,species ,1478 ,Bacillus simplex ,Bacteria ,110 ,0.0125893682181818 ,0.002206055 ,0.0456511206526396 ,
D006262 ,species ,1479 ,Bacillus smithii ,Bacteria ,290 ,0.00450450661827586 ,0.00253492 ,0.00966598969502471 ,
D006262 ,species ,1482 ,Virgibacillus halodenitrificans ,Bacteria ,93 ,0.00836851198924731 ,0.00467683 ,0.0130963212554373 ,
D006262 ,species ,1484 ,Hydrogenibacillus schlegelii ,Bacteria ,12 ,0.00234254316666667 ,0.001322835 ,0.0021568000024017 ,
D006262 ,species ,1488 ,Clostridium acetobutylicum ,Bacteria ,675 ,0.0130662671659259 ,0.00327976 ,0.0786509140709839 ,
D006262 ,species ,1490 ,Paraclostridium bifermentans ,Bacteria ,975 ,0.0205831899309744 ,0.00247525 ,0.223776892424646 ,
D006262 ,species ,1491 ,Clostridium botulinum ,Bacteria ,1113 ,0.0120146731163522 ,0.00286443 ,0.11076910723929 ,
D006262 ,species ,1492 ,Clostridium butyricum ,Bacteria ,3201 ,0.305110074663855 ,0.0198295 ,1.38809181094708 ,
D006262 ,species ,1493 ,Clostridium cellulovorans ,Bacteria ,350 ,0.00763396040714286 ,0.001873545 ,0.0241084351453442 ,
D006262 ,species ,1494 ,Clostridium cochlearium ,Bacteria ,55 ,0.0016523284 ,0.0015352 ,0.00135266448984837 ,
D006262 ,species ,1495 ,Clostridium cylindrosporum ,Bacteria ,587 ,0.0106493147402044 ,0.00413001 ,0.0206458017179281 ,
D006262 ,species ,1496 ,Clostridioides difficile ,Bacteria ,2383 ,0.199057452453714 ,0.00461 ,1.58387150402796 ,
D006262 ,species ,1497 ,Clostridium formicaceticum ,Bacteria ,848 ,0.00706641800153302 ,0.003216265 ,0.0143610226969399 ,
D006262 ,species ,1498 ,Hathewaya histolytica ,Bacteria ,76 ,0.00189645873684211 ,0.0007559175 ,0.00259764029180165 ,
D006262 ,species ,1499 ,[Clostridium] josui ,Bacteria ,268 ,0.00334041676679104 ,0.001749375 ,0.00661264143674738 ,
D006262 ,species ,1501 ,Clostridium pasteurianum ,Bacteria ,1651 ,0.00967308954815264 ,0.00450918 ,0.023345065503916 ,
D006262 ,species ,1502 ,Clostridium perfringens ,Bacteria ,4767 ,1.16128352101888 ,0.0100669 ,7.24784335129042 ,
D006262 ,species ,1503 ,[Clostridium] purinilyticum ,Bacteria ,549 ,0.00943517803734062 ,0.00260681 ,0.0308408165030099 ,
D006262 ,species ,1504 ,Clostridium septicum ,Bacteria ,3216 ,0.240256979700871 ,0.01960365 ,0.805101482898205 ,
D006262 ,species ,1505 ,Paeniclostridium sordellii ,Bacteria ,11 ,0.531515454545455 ,0.05472 ,1.04611845743552 ,
D006262 ,species ,1506 ,Clostridium sp. ,Bacteria ,1374 ,0.0216670805846434 ,0.004485685 ,0.159444970977486 ,
D006262 ,species ,1507 ,Clostridium sp. ATCC 29733 ,Bacteria ,2836 ,0.0113434471279972 ,0.00507274 ,0.0406567596039884 ,
D006262 ,species ,1509 ,Clostridium sporogenes ,Bacteria ,51 ,0.0206700126372549 ,0.00255245 ,0.0984616467068357 ,
D006262 ,species ,1510 ,[Clostridium] stercorarium ,Bacteria ,3513 ,0.0671023007685739 ,0.0103141 ,0.23681325332511 ,
D006262 ,species ,1511 ,[Clostridium] sticklandii ,Bacteria ,269 ,0.0116154225018587 ,0.00177151 ,0.110782718747997 ,
D006262 ,species ,1512 ,[Clostridium] symbiosum ,Bacteria ,7436 ,0.189645918229962 ,0.04760005 ,0.71610630898298 ,
D006262 ,species ,1513 ,Clostridium tetani ,Bacteria ,220 ,0.0530164992377273 ,0.0020769 ,0.344699746008937 ,
D006262 ,species ,1515 ,Ruminiclostridium thermocellum ,Bacteria ,5803 ,0.359162744374461 ,0.11744 ,0.732495667576874 ,
D006262 ,species ,1516 ,Thermoanaerobacter thermohydrosulfuricus ,Bacteria ,14 ,0.0118024912142857 ,0.001731185 ,0.0264780813040485 ,
D006262 ,species ,1517 ,Thermoanaerobacterium thermosaccharolyticum ,Bacteria ,12 ,0.00880611029166667 ,0.003434125 ,0.015314184639067 ,
D006262 ,species ,1519 ,Clostridium tyrobutyricum ,Bacteria ,614 ,0.0105743479983713 ,0.00288438 ,0.0767327527805334 ,
D006262 ,species ,1520 ,Clostridium beijerinckii ,Bacteria ,3995 ,0.180832502477597 ,0.0136672 ,0.956727372303847 ,
D006262 ,species ,1521 ,[Clostridium] cellulolyticum ,Bacteria ,459 ,0.0112958373496732 ,0.00176682 ,0.0350515130554123 ,
D006262 ,species ,1522 ,[Clostridium] innocuum ,Bacteria ,2699 ,0.0858407754912931 ,0.0103011 ,0.388122709215341 ,
D006262 ,species ,1523 ,Clostridium longisporum ,Bacteria ,24 ,0.00124831725 ,0.001109805 ,0.000732031701528386 ,
D006262 ,species ,1525 ,Moorella thermoacetica ,Bacteria ,482 ,0.00318130202697095 ,0.00191492 ,0.0052157814846446 ,
D006262 ,species ,1527 ,Anaerocolumna aminovalerica ,Bacteria ,1102 ,0.0092602485199637 ,0.004947925 ,0.0387233830922939 ,
D006262 ,species ,1528 ,Eubacterium barkeri ,Bacteria ,49 ,0.0225924510816327 ,0.000983197 ,0.143269744066537 ,
D006262 ,species ,1529 ,Clostridium cadaveris ,Bacteria ,142 ,0.0165863220774648 ,0.0013637 ,0.0890246731847257 ,
D006262 ,species ,1530 ,Clostridium carnis ,Bacteria ,1596 ,0.072426762070802 ,0.02189555 ,0.125886825994495 ,
D006262 ,species ,1531 ,[Clostridium] clostridioforme ,Bacteria ,1372 ,0.245541717198251 ,0.01008005 ,0.834282999495965 ,
D006262 ,species ,1532 ,Blautia coccoides ,Bacteria ,5287 ,0.0854014286546246 ,0.0281468 ,0.3081112846485 ,
D006262 ,species ,1533 ,Clostridium fallax ,Bacteria ,505 ,0.0036955407980198 ,0.00226383 ,0.00485150652273788 ,
D006262 ,species ,1534 ,Clostridium kluyveri ,Bacteria ,315 ,0.00477577394920635 ,0.00140861 ,0.0182888053837453 ,
D006262 ,species ,1535 ,[Clostridium] leptum ,Bacteria ,8426 ,0.328396721813079 ,0.11646 ,0.849547252871948 ,
D006262 ,species ,1536 ,Hathewaya limosa ,Bacteria ,300 ,0.00556332104233333 ,0.004189015 ,0.00758183124477313 ,
D006262 ,species ,1537 ,Romboutsia lituseburensis ,Bacteria ,673 ,0.00504103919465082 ,0.00210975 ,0.0187962309048143 ,
D006262 ,species ,1538 ,Clostridium ljungdahlii ,Bacteria ,329 ,0.0137873447151976 ,0.00145471 ,0.0727141605665425 ,
D006262 ,species ,1539 ,Clostridium malenominatum ,Bacteria ,987 ,0.0374410086990881 ,0.00353064 ,0.240428378392539 ,
D006262 ,species ,1540 ,Clostridioides mangenotii ,Bacteria ,163 ,0.0258502785092025 ,0.00122609 ,0.236463894645001 ,
D006262 ,species ,1541 ,Terrisporobacter mayombei ,Bacteria ,1937 ,0.0129489454282395 ,0.0040222 ,0.0771835232877615 ,
D006262 ,species ,1542 ,Clostridium novyi ,Bacteria ,246 ,0.00643058537398374 ,0.00215713 ,0.0154065216881193 ,
D006262 ,species ,1543 ,Clostridium oceanicum ,Bacteria ,56 ,0.00306078805357143 ,0.00331785 ,0.00197680621289302 ,
D006262 ,species ,1544 ,[Clostridium] oroticum ,Bacteria ,858 ,0.00859527897703963 ,0.003438805 ,0.0366175127679929 ,
D006262 ,species ,1547 ,Erysipelatoclostridium ramosum ,Bacteria ,3783 ,0.234725502024848 ,0.0131894 ,1.31204948018905 ,
D006262 ,species ,1548 ,Clostridium scatologenes ,Bacteria ,279 ,0.00334134091648746 ,0.00140964 ,0.0110901896399499 ,
D006262 ,species ,1549 ,[Clostridium] sporosphaeroides ,Bacteria ,334 ,0.18708110792515 ,0.00246871 ,1.03686294723913 ,
D006262 ,species ,1550 ,Clostridium subterminale ,Bacteria ,308 ,0.0293249796795455 ,0.001445725 ,0.326459013873268 ,
D006262 ,species ,1551 ,Clostridium aurantibutyricum ,Bacteria ,384 ,0.0196526293645833 ,0.00361515 ,0.0720001737133524 ,
D006262 ,species ,1553 ,Clostridium tetanomorphum ,Bacteria ,630 ,0.0027435358947619 ,0.001922035 ,0.00281747480944509 ,
D006262 ,species ,1556 ,Gottschalkia acidurici ,Bacteria ,227 ,0.00592596657048458 ,0.00123204 ,0.0448144374863415 ,
D006262 ,species ,1557 ,[Clostridium] litorale ,Bacteria ,89 ,0.00149291278314607 ,0.00113322 ,0.001216645721094 ,
D006262 ,species ,1559 ,Clostridium tertium ,Bacteria ,5748 ,0.518909148747216 ,0.05458215 ,2.51746777957202 ,
D006262 ,species ,1561 ,Clostridium baratii ,Bacteria ,2057 ,0.0390918259436072 ,0.00373441 ,0.397857162850296 ,
D006262 ,species ,1563 ,Desulfosporosinus orientis ,Bacteria ,1092 ,0.00515436687335165 ,0.003504585 ,0.00568213783215093 ,
D006262 ,species ,1564 ,Desulfotomaculum ruminis ,Bacteria ,779 ,0.0110759104938383 ,0.00321906 ,0.0383357049750829 ,
D006262 ,species ,1565 ,Desulfotomaculum nigrificans ,Bacteria ,370 ,0.0025098789872973 ,0.001393885 ,0.00636725269769782 ,
D006262 ,species ,1570 ,Halobacillus halophilus ,Bacteria ,63 ,0.0282787544603175 ,0.00429295 ,0.0715392647986026 ,
D006262 ,species ,1571 ,Sporosarcina ureae ,Bacteria ,179 ,0.0496986393463687 ,0.00551602 ,0.153878163738776 ,
D006262 ,species ,1575 ,Leifsonia xyli ,Bacteria ,37 ,0.0062843482972973 ,0.00146548 ,0.0210249503918838 ,
D006262 ,species ,1579 ,Lactobacillus acidophilus ,Bacteria ,527 ,0.04987359771537 ,0.00316746 ,0.206232504364383 ,
D006262 ,species ,1580 ,Lactobacillus brevis ,Bacteria ,415 ,0.0371998863004819 ,0.00394431 ,0.320892044568466 ,
D006262 ,species ,1581 ,Lactobacillus buchneri ,Bacteria ,48 ,0.00594689291666667 ,0.00160692 ,0.0195729353882003 ,
D006262 ,species ,1582 ,Lactobacillus casei ,Bacteria ,2197 ,0.135780849066318 ,0.00671411 ,0.719921416240431 ,
D006262 ,species ,1583 ,Weissella confusa ,Bacteria ,442 ,0.0846600468597285 ,0.00444906 ,0.53160963541786 ,
D006262 ,species ,1584 ,Lactobacillus delbrueckii ,Bacteria ,1089 ,0.0890189445624426 ,0.00562208 ,0.527389661728246 ,
D006262 ,species ,1587 ,Lactobacillus helveticus ,Bacteria ,221 ,0.0131431031085973 ,0.00207589 ,0.0532545854100962 ,
D006262 ,species ,1588 ,Lactobacillus hilgardii ,Bacteria ,137 ,0.00520856190145985 ,0.0033873 ,0.00734662021083191 ,
D006262 ,species ,1589 ,Lactobacillus pentosus ,Bacteria ,394 ,0.0159568550583756 ,0.003323985 ,0.066946949624154 ,
D006262 ,species ,1590 ,Lactobacillus plantarum ,Bacteria ,1376 ,0.102389728385392 ,0.004036815 ,0.705662742166451 ,
D006262 ,species ,1593 ,Lactobacillus sp. 30A ,Bacteria ,12 ,0.0059315105 ,0.00186173 ,0.0120779115859336 ,
D006262 ,species ,1596 ,Lactobacillus gasseri ,Bacteria ,1793 ,0.158193720463469 ,0.00677247 ,0.850722125487866 ,
D006262 ,species ,1597 ,Lactobacillus paracasei ,Bacteria ,748 ,0.0949351011604278 ,0.005606675 ,0.668418224451271 ,
D006262 ,species ,1598 ,Lactobacillus reuteri ,Bacteria ,1430 ,0.06706072329 ,0.00416285 ,0.430244489602435 ,
D006262 ,species ,1599 ,Lactobacillus sakei ,Bacteria ,902 ,0.0163541492699557 ,0.003424585 ,0.0647287672700683 ,
D006262 ,species ,1600 ,Lactobacillus acetotolerans ,Bacteria ,112 ,0.00383460995535714 ,0.00196747 ,0.00820908258177338 ,
D006262 ,species ,1601 ,Lactobacillus agilis ,Bacteria ,292 ,0.00453596883390411 ,0.001814515 ,0.0100409129781239 ,
D006262 ,species ,1602 ,Lactobacillus alimentarius ,Bacteria ,11 ,0.003594585 ,0.00321347 ,0.00322306637271791 ,
D006262 ,species ,1603 ,Lactobacillus amylophilus ,Bacteria ,29 ,0.0025524864137931 ,0.00191362 ,0.00190921142783464 ,
D006262 ,species ,1604 ,Lactobacillus amylovorus ,Bacteria ,629 ,0.21534595317965 ,0.00353744 ,2.35918043470625 ,
D006262 ,species ,1605 ,Lactobacillus animalis ,Bacteria ,1446 ,0.152273504749654 ,0.004249085 ,1.20912434447923 ,
D006262 ,species ,1606 ,Lactobacillus aviarius ,Bacteria ,61 ,0.00618856196721311 ,0.00178454 ,0.0118956320622925 ,
D006262 ,species ,1607 ,Lactobacillus bifermentans ,Bacteria ,46 ,0.00469175181956522 ,0.003582485 ,0.00550108387729692 ,
D006262 ,species ,1610 ,Lactobacillus coryniformis ,Bacteria ,183 ,0.0359782599125683 ,0.00470832 ,0.128389269985847 ,
D006262 ,species ,1612 ,Lactobacillus farciminis ,Bacteria ,83 ,0.0157332945903614 ,0.00247956 ,0.0526948204981839 ,
D006262 ,species ,1613 ,Lactobacillus fermentum ,Bacteria ,867 ,0.129750570456401 ,0.00504948 ,0.915460503867732 ,
D006262 ,species ,1614 ,Lactobacillus fructivorans ,Bacteria ,97 ,0.0118076915463918 ,0.00284357 ,0.0310063941695169 ,
D006262 ,species ,1615 ,Weissella halotolerans ,Bacteria ,31 ,0.0198901445483871 ,0.00240558 ,0.0598292721739409 ,
D006262 ,species ,1616 ,Weissella kandleri ,Bacteria ,168 ,0.00425936351190476 ,0.001410085 ,0.0124157713598548 ,
D006262 ,species ,1618 ,Lactobacillus mali ,Bacteria ,75 ,0.01138645688 ,0.00397156 ,0.0321683259921546 ,
D006262 ,species ,1620 ,Weissella minor ,Bacteria ,115 ,0.00282052951304348 ,0.00117543 ,0.00822158062228489 ,
D006262 ,species ,1622 ,Lactobacillus murinus ,Bacteria ,683 ,0.0660708832635432 ,0.00225205 ,0.828177310725506 ,
D006262 ,species ,1623 ,Lactobacillus ruminis ,Bacteria ,1999 ,0.516413536174087 ,0.0173637 ,1.93276960562106 ,
D006262 ,species ,1624 ,Lactobacillus salivarius ,Bacteria ,1137 ,0.190357164708004 ,0.00626959 ,1.0658414364324 ,
D006262 ,species ,1625 ,Lactobacillus sanfranciscensis ,Bacteria ,422 ,0.0639413344194313 ,0.004906155 ,0.277449193558589 ,
D006262 ,species ,1626 ,Lactobacillus sharpeae ,Bacteria ,290 ,0.00523995643103448 ,0.002923215 ,0.0111982853094358 ,
D006262 ,species ,1629 ,Weissella viridescens ,Bacteria ,180 ,0.00635657042777778 ,0.002352695 ,0.0158453511713482 ,
D006262 ,species ,1630 ,Kandleria vitulina ,Bacteria ,1276 ,0.611141016703762 ,0.00807632 ,1.58674760736745 ,
D006262 ,species ,1631 ,Fructobacillus fructosus ,Bacteria ,86 ,0.00146899026744186 ,0.000909355 ,0.0014815840136009 ,
D006262 ,species ,1632 ,Lactobacillus oris ,Bacteria ,168 ,0.06731165825 ,0.00407952 ,0.328518241280328 ,
D006262 ,species ,1633 ,Lactobacillus vaginalis ,Bacteria ,740 ,0.0560802256094595 ,0.00409905 ,0.368853144113527 ,
D006262 ,species ,1639 ,Listeria monocytogenes ,Bacteria ,235 ,0.00830219366170213 ,0.00231514 ,0.0421125757428437 ,
D006262 ,species ,1642 ,Listeria innocua ,Bacteria ,1 ,0.000142911 ,0.000142911 , ,
D006262 ,species ,1646 ,Renibacterium salmoninarum ,Bacteria ,343 ,0.0077460311574344 ,0.00469175 ,0.0104658585089184 ,
D006262 ,species ,1648 ,Erysipelothrix rhusiopathiae ,Bacteria ,996 ,0.0113479153313253 ,0.002791975 ,0.104250617938281 ,
D006262 ,species ,1650 ,Kurthia zopfii ,Bacteria ,7 ,0.00908096914285714 ,0.00366059 ,0.0176912667634495 ,
D006262 ,species ,1652 ,Alloiococcus otitis ,Bacteria ,31 ,0.0111146433548387 ,0.00203612 ,0.0344182310556835 ,
D006262 ,species ,1655 ,Actinomyces naeslundii ,Bacteria ,2261 ,0.0227355065222026 ,0.00427625 ,0.126581659585329 ,
D006262 ,species ,1656 ,Actinomyces viscosus ,Bacteria ,1032 ,0.00604638567315891 ,0.00271694 ,0.0204530277529751 ,
D006262 ,species ,1657 ,Actinobaculum suis ,Bacteria ,3 ,0.00489043 ,0.00290571 ,0.00362447459762101 ,
D006262 ,species ,1658 ,Actinomyces bovis ,Bacteria ,128 ,0.00294733537109375 ,0.00181694 ,0.00381119565534358 ,
D006262 ,species ,1659 ,Actinomyces israelii ,Bacteria ,1625 ,0.00825783951833846 ,0.00336101 ,0.0294312327794658 ,
D006262 ,species ,1660 ,Actinomyces odontolyticus ,Bacteria ,5123 ,0.0895047971698224 ,0.0103595 ,0.781854182138171 ,
D006262 ,species ,1661 ,Trueperella pyogenes ,Bacteria ,13 ,0.00263365107692308 ,0.0010968 ,0.00283216982774055 ,
D006262 ,species ,1665 ,Arthrobacter globiformis ,Bacteria ,30 ,0.009767616 ,0.00271971 ,0.0368235103075275 ,
D006262 ,species ,1667 ,Arthrobacter sp. ,Bacteria ,109 ,0.00538760970642202 ,0.00337386 ,0.00539142674656971 ,
D006262 ,species ,1670 ,Arthrobacter citreus ,Bacteria ,876 ,0.011957042197831 ,0.002474645 ,0.0567287153139424 ,
D006262 ,species ,1676 ,Pseudarthrobacter polychromogenes ,Bacteria ,3 ,0.000588852666666667 ,0.000535584 ,0.000238186137531833 ,
D006262 ,species ,1680 ,Bifidobacterium adolescentis ,Bacteria ,7964 ,1.60337266197407 ,0.133243 ,4.44638281817556 ,
D006262 ,species ,1681 ,Bifidobacterium bifidum ,Bacteria ,4594 ,0.995162588244014 ,0.0369436 ,3.92316972096256 ,
D006262 ,species ,1683 ,Bifidobacterium angulatum ,Bacteria ,1592 ,0.305643037067211 ,0.01421495 ,0.973859280066275 ,
D006262 ,species ,1684 ,Bifidobacterium asteroides ,Bacteria ,1946 ,0.0150271606443988 ,0.00488962 ,0.0334912565972624 ,
D006262 ,species ,1685 ,Bifidobacterium breve ,Bacteria ,5548 ,1.40281820928497 ,0.0631792 ,5.33627097004944 ,
D006262 ,species ,1686 ,Bifidobacterium catenulatum ,Bacteria ,5109 ,1.69557699258283 ,0.0634754 ,4.2799906913465 ,
D006262 ,species ,1687 ,Bifidobacterium coryneforme ,Bacteria ,829 ,0.00734319326984318 ,0.00257473 ,0.0212885997339797 ,
D006262 ,species ,1688 ,Bifidobacterium cuniculi ,Bacteria ,459 ,0.0135353013333333 ,0.00265993 ,0.100755114490536 ,
D006262 ,species ,1689 ,Bifidobacterium dentium ,Bacteria ,4353 ,0.455968039564209 ,0.02348 ,3.18909897012027 ,
D006262 ,species ,1691 ,Bifidobacterium indicum ,Bacteria ,3701 ,0.120004330632262 ,0.0184733 ,0.249823132307576 ,
D006262 ,species ,1692 ,Bifidobacterium magnum ,Bacteria ,650 ,0.00545713694769231 ,0.00401046 ,0.00656606804556618 ,
D006262 ,species ,1693 ,Bifidobacterium minimum ,Bacteria ,964 ,0.00463017075570539 ,0.002221285 ,0.011185605545228 ,
D006262 ,species ,1694 ,Bifidobacterium pseudolongum ,Bacteria ,3821 ,0.0937453284773619 ,0.0146182 ,0.327243889872452 ,
D006262 ,species ,1697 ,Corynebacterium ammoniagenes ,Bacteria ,32 ,0.00364772878125 ,0.003009575 ,0.00324357939507263 ,
D006262 ,species ,1698 ,Brevibacterium epidermidis ,Bacteria ,117 ,0.00362806223931624 ,0.0015526 ,0.00710943295896519 ,
D006262 ,species ,1701 ,Brevibacterium sp. ,Bacteria ,18 ,0.00922257183333333 ,0.002950915 ,0.0114933279936771 ,
D006262 ,species ,1703 ,Brevibacterium linens ,Bacteria ,6 ,0.0284239558333333 ,0.031495 ,0.0151902486863021 ,
D006262 ,species ,1705 ,Corynebacterium stationis ,Bacteria ,91 ,0.0108307076593407 ,0.00401735 ,0.0197323277441458 ,
D006262 ,species ,1708 ,Cellulomonas fimi ,Bacteria ,18 ,0.003099389 ,0.00162607 ,0.00364015322908971 ,
D006262 ,species ,1709 ,Cellulomonas biazotea ,Bacteria ,6 ,0.005626225 ,0.004603565 ,0.0048286716248457 ,
D006262 ,species ,1710 ,Cellulosimicrobium cellulans ,Bacteria ,28 ,0.0306093327678571 ,0.003617785 ,0.0883512891388878 ,
D006262 ,species ,1711 ,Cellulomonas flavigena ,Bacteria ,5 ,0.00131764 ,0.00135049 ,0.000482214069786438 ,
D006262 ,species ,1714 ,Cellulomonas uda ,Bacteria ,3 ,0.00316286 ,0.00299531 ,0.000495726711101994 ,
D006262 ,species ,1717 ,Corynebacterium diphtheriae ,Bacteria ,351 ,0.0258967850840456 ,0.0046183 ,0.0972365591841366 ,
D006262 ,species ,1718 ,Corynebacterium glutamicum ,Bacteria ,1476 ,0.0071562684149729 ,0.003121785 ,0.0185683278239378 ,
D006262 ,species ,1719 ,Corynebacterium pseudotuberculosis ,Bacteria ,91 ,0.0024285550989011 ,0.00178317 ,0.00247894066446483 ,
D006262 ,species ,1721 ,Corynebacterium callunae ,Bacteria ,3 ,0.120374852 ,0.00407 ,0.204358699482321 ,
D006262 ,species ,1724 ,Corynebacterium renale ,Bacteria ,229 ,0.0117903713449782 ,0.00473855 ,0.0464046429854126 ,
D006262 ,species ,1725 ,Corynebacterium xerosis ,Bacteria ,346 ,0.116597109962428 ,0.00764368 ,0.904445024048521 ,
D006262 ,species ,1727 ,Corynebacterium variabile ,Bacteria ,539 ,0.0484927331521336 ,0.00596808 ,0.142569484741385 ,
D006262 ,species ,1731 ,Eubacterium acidaminophilum ,Bacteria ,131 ,0.00154594187022901 ,0.00106852 ,0.0019176157459671 ,
D006262 ,species ,1732 ,Eubacterium oxidoreducens ,Bacteria ,599 ,0.0112124597963272 ,0.00265936 ,0.0465124936261631 ,
D006262 ,species ,1735 ,Holdemanella biformis ,Bacteria ,4894 ,0.893231152954843 ,0.161725 ,1.99837454212655 ,
D006262 ,species ,1736 ,Eubacterium limosum ,Bacteria ,1250 ,0.0538923549728 ,0.00522762 ,0.254580891491651 ,
D006262 ,species ,1737 ,[Eubacterium] tenue ,Bacteria ,738 ,0.0272259383184282 ,0.003094545 ,0.152612960238383 ,
D006262 ,species ,1741 ,Thermodesulfobacterium commune ,Bacteria ,1 ,0.000292663 ,0.000292663 , ,
D006262 ,species ,1744 ,Propionibacterium freudenreichii ,Bacteria ,126 ,0.159020314761905 ,0.01083 ,0.611551293493732 ,
D006262 ,species ,1747 ,Propionibacterium acnes ,Bacteria ,1303 ,0.266952689301612 ,0.00353567 ,1.39892209238734 ,
D006262 ,species ,1748 ,Propionibacterium acidipropionici ,Bacteria ,118 ,0.00888873466949153 ,0.00267366 ,0.0275225586048984 ,
D006262 ,species ,1749 ,Propionibacterium jensenii ,Bacteria ,33 ,0.00205353890909091 ,0.00143642 ,0.00186524237940025 ,
D006262 ,species ,1750 ,Propionibacterium propionicum ,Bacteria ,227 ,0.00314075172114537 ,0.0014072 ,0.007225416112371 ,
D006262 ,species ,1751 ,Propionibacterium thoenii ,Bacteria ,5 ,0.001592585 ,0.000723479 ,0.0019515440541397 ,
D006262 ,species ,1753 ,Propioniferax innocua ,Bacteria ,4 ,0.001103356 ,0.000998427 ,0.000936284545892611 ,
D006262 ,species ,1764 ,Mycobacterium avium ,Bacteria ,251 ,0.00819006043426295 ,0.00264929 ,0.0221488474827872 ,
D006262 ,species ,1765 ,Mycobacterium bovis ,Bacteria ,2 ,0.00250358 ,0.00250358 ,0.000610190725757119 ,
D006262 ,species ,1766 ,Mycobacterium fortuitum ,Bacteria ,165 ,0.00352559103636364 ,0.00228974 ,0.004006296318618 ,
